"id","code","name","category","description"
"11111111-1111-1111-1111-000000000001","orders:read","View Orders","ORDERS","Permission to view all orders"
"11111111-1111-1111-1111-000000000002","orders:write","Create and Edit Orders","ORDERS","Permission to create and modify orders"
"11111111-1111-1111-1111-000000000003","orders:delete","Delete Orders","ORDERS","Permission to delete orders"
"11111111-1111-1111-1111-000000000004","orders:create","Create Orders","ORDERS","Permission to place new delivery orders"
"11111111-1111-1111-1111-000000000005","orders:cancel","Cancel Orders","ORDERS","Permission to cancel orders"
"11111111-1111-1111-1111-000000000006","orders:read:self","View Own Orders","ORDERS","Permission to view customer's own orders"
"11111111-1111-1111-1111-000000000007","orders:status:update","Update Order Status","ORDERS","Permission to update order delivery status"
"11111111-1111-1111-1111-000000000008","orders:pod:upload","Upload Proof of Delivery","ORDERS","Permission to upload POD image / signature"
"11111111-1111-1111-1111-000000000009","orders:assign","Assign Orders","ORDERS","Permission to assign orders to couriers"
"11111111-1111-1111-1111-000000000010","fleet:read","View Fleet","FLEET","Permission to view fleet and courier status"
"11111111-1111-1111-1111-000000000011","fleet:dispatch","Dispatch Fleet","FLEET","Permission to execute dispatch operations"
"11111111-1111-1111-1111-000000000012","fleet:status:toggle","Toggle Driver Status","FLEET","Permission for courier to go online/offline"
"11111111-1111-1111-1111-000000000013","fleet:route:optimize","Optimize Routes","FLEET","Permission to run dispatch route optimization"
"11111111-1111-1111-1111-000000000014","tracking:read","Track Delivery","TRACKING","Permission to read parcel tracking milestones"
"11111111-1111-1111-1111-000000000015","tracking:push:location","Push GPS Location","TRACKING","Permission for driver to send live GPS coordinates"
"11111111-1111-1111-1111-000000000016","merchant:profile:manage","Manage Merchant Profile","MERCHANT","Permission to configure store and COD preferences"
"11111111-1111-1111-1111-000000000017","inventory:sync","Sync Inventory","MERCHANT","Permission to sync store inventory"
"11111111-1111-1111-1111-000000000018","users:read","View Users","USERS","Permission to list users"
"11111111-1111-1111-1111-000000000019","users:write","Create and Edit Users","USERS","Permission to edit users"
"11111111-1111-1111-1111-000000000020","users:admin","Administer Users","USERS","Full user administration"
"11111111-1111-1111-1111-000000000021","analytics:view","View Analytics","SYSTEM","Permission to view executive KPI dashboards"
"11111111-1111-1111-1111-000000000022","system:manage","Manage System","SYSTEM","Permission for full infrastructure management"
